group	title	authors	abstract	categories	author comment
8	Linear magneto-conductivity as a DC probe of time-reversal symmetry breaking	Veronika Sunko,Chunxiao Liu,Marc Vila,Ilyoun Na,Yuchen Tang,Vladyslav Kozii,Sinéad M. Griffin,Joel E. Moore,Joseph Orenstein	"Several optical experiments have shown that in magnetic materials the principal axes of response tensors can rotate in a magnetic field. Here we offer a microscopic explanation of this effect, and propose a closely related DC transport phenomenon -- an off-diagonal \emph{symmetric} conductivity linear in a magnetic field, which we refer to as linear magneto-conductivity (LMC). Although LMC has the same functional dependence on magnetic field as the Hall effect, its origin is fundamentally different: LMC requires time-reversal symmetry to be broken even before a magnetic field is applied, and is therefore a sensitive probe of magnetism. We demonstrate LMC in three different ways: via a tight-binding toy model, density functional theory calculations on MnPSe$_3$, and a semiclassical calculation. The third approach additionally identifies two distinct mechanisms yielding LMC: momentum-dependent band magnetization and Berry curvature. Finally, we propose an experimental geometry suitable for detecting LMC, and demonstrate its applicability using Landauer-B\""{u}ttiker simulations. Our results emphasize the importance of measuring the full conductivity tensor in magnetic materials, and introduce LMC as a new transport probe of symmetry."	cond-mat.mes-hall	6+8 pages, 4+3 figures
9	Compressive quantum waveform estimation	Alex Tritt,Joshua Morris,Christopher C. Bounds,Hamish A. M. Taylor,James Saunderson,L. D. Turner	Applying quantum sensors to sample entire signals (quantum waveform estimation) promises to revolutionize the sensing of small signals, such as the monitoring of electrical pulses generated by neurons for medical research. However, intensive use of quantum resources (e.g., long sensing times and/or many destructive measurements) make current implementations impractical for real-world use. In this Letter, we experimentally demonstrate quantum waveform estimation of a synthesized neural-like signal, taking many fewer cold-atom measurements than would naively be necessary.	quant-ph	6 pages + 3 pages of Supplemental Material, 3 figures + 1   supplemental figure
0	On-chip topological transport of optical frequency combs in silicon-based valley photonic crystals	Zhen Jiang,Hongwei Wang,Yuechen Yang,Yang Shen,Bo Ji,Yanghe Chen,Yong Zhang,Lu Sun,Zheng Wang,Chun Jiang,Yikai Su,Guangqiang He	The generation and control of optical frequency combs in integrated photonic systems enables complex, high-controllable, and large-scale devices. In parallel, harnessing topological physics in multipartite systems has allowed them with compelling features such as robustness against fabrication imperfections. Here we experimentally demonstrate on-chip topological transport for optical frequency combs at telecommunication wavelengths, both in classical and nonclassical domains. We access both the quantum frequency combs and dissipative Kerr soliton combs with a micro-resonator. The quantum frequency comb, that is, a coherent superposition of multiple frequency modes, is proven to be a frequency-entangled qudit state. We also show that dissipative Kerr soliton combs are highly coherent and mode-locked due to the collective coherence or self-organization of solitons. Moreover, the valley kink states allow both quantum frequency combs and dissipative Kerr soliton combs with robustness against sharp bends. Our topologically protected optical frequency combs could enable the inherent robustness in integrated complex photonic systems.	physics.optics	20 pages,12 figures
1	Orders and partitions of integers induced by arithmetic functions	Mario Ziller	We pursue the question how integers can be ordered or partitioned according to their divisibility properties. Based on pseudometrics on $\mathbb{Z}$, we investigate induced preorders, associated equivalence relations, and quotient sets. The focus is on metrics or pseudometrics on $\mathbb{D}_n$, the set of divisors of a given modulus $n\in\mathbb{N}$, that can be extended to pseudometrics on $\mathbb{Z}$.   Arithmetic functions can be used to generate such pseudometrics. We discuss several subsets of additive and multiplicative arithmetic functions and various combinations of their function values leading to binary metric functions that represent different divisibility properties of integers.   We conclude this paper with numerous examples and review the most important results. As an additional result, we derive a necessary condition for the truth of the odd k-perfect number conjecture.	math.NT	50 pages, 3 diagrams
2	Push-Pull Based Distributed Primal-Dual Algorithm for Coupled Constrained Convex Optimization in Multi-Agent Networks	Kai Gong,Liwei Zhang	This paper focuses on a distributed coupled constrained convex optimization problem over directed unbalanced and time-varying multi-agent networks, where the global objective function is the sum of all agents' private local objective functions, and decisions of all agents are subject to coupled equality and inequality constraints and a compact convex subset. In the multi-agent networks, each agent exchanges information with other neighboring agents. Finally, all agents reach a consensus on decisions, meanwhile achieving the goal of minimizing the global objective function under the given constraint conditions. For the purpose of protecting the information privacy of each agent, we first establish the saddle point problem of the constrained convex optimization problem considered in this article, then based on the push-pull method, develop a distributed primal-dual algorithm to solve the dual problem. Under Slater's condition, we will show that the sequence of points generated by the proposed algorithm converges to a saddle point of the Lagrange function. Moreover, we analyze the iteration complexity of the algorithm.	math.OC	None
3	GUPNet++: Geometry Uncertainty Propagation Network for Monocular 3D Object Detection	Yan Lu,Xinzhu Ma,Lei Yang,Tianzhu Zhang,Yating Liu,Qi Chu,Tong He,Yonghui Li,Wanli Ouyang	Geometry plays a significant role in monocular 3D object detection. It can be used to estimate object depth by using the perspective projection between object's physical size and 2D projection in the image plane, which can introduce mathematical priors into deep models. However, this projection process also introduces error amplification, where the error of the estimated height is amplified and reflected into the projected depth. It leads to unreliable depth inferences and also impairs training stability. To tackle this problem, we propose a novel Geometry Uncertainty Propagation Network (GUPNet++) by modeling geometry projection in a probabilistic manner. This ensures depth predictions are well-bounded and associated with a reasonable uncertainty. The significance of introducing such geometric uncertainty is two-fold: (1). It models the uncertainty propagation relationship of the geometry projection during training, improving the stability and efficiency of the end-to-end model learning. (2). It can be derived to a highly reliable confidence to indicate the quality of the 3D detection result, enabling more reliable detection inference. Experiments show that the proposed approach not only obtains (state-of-the-art) SOTA performance in image-based monocular 3D detection but also demonstrates superiority in efficacy with a simplified framework.	cs.CV	18 pages, 9 figures
4	New application of the mass-dependent analysis for renormalization group equation to extended Higgs models	Shinya Kanemura,Yushi Mura	We discuss at the first time ultraviolet behaviors of effective coupling constants using renormalization group equations with mass dependent beta functions in extended Higgs models, in which the scalar coupling constants may blow up at a scale much below the Planck scale. It is important to precisely evaluate such a scale as the upper bound where the models can hold. We find that by the natural treatment of the threshold in our method the upper bound in extended Higgs models can be much higher than that obtained by using the mass independent beta function, especially when such an upper bound is relatively low.	hep-ph	6 pages, 3 figures
5	Exact solutions for radiative transfer with partial frequency redistribution	Hélène Frisch	The construction of exact solutions for radiative transfer in a plane-parallel medium has been addressed by Hemsch and Ferziger in 1972 for a partial frequency redistribution model of the formation of spectral lines consisting in a linear combination of frequency coherent and fully incoherent scattering. The method of solution is based on an eigenfunction expansion of the radiation field, leading to two singular integral equations with a Cauchy-type kernel, that have to be solved one after the other. We reconsider this problem, using as starting point the integral formulation of the radiative transfer equation, where the terms involving the coupling between the two scattering mechanisms are clearly displayed, as well as the primary source of photons. With an inverse Laplace transform, we recover the singular integral equations previously established and, with Hilbert transforms as in the previous work, recast them as boundary value problems in the complex plane. Their solutions are presented in detail for an infinite and a semi-infinite medium. The coupling terms are carefully analyzed and consistency with either the coherent or the incoherent limit is systematically checked. We recover the important results of the previous work that an exact solution exists for an infinite medium, whereas for a semi-infinite medium, which requires the introduction of half-space auxiliary functions, the solution is given by a Fredholm integral equation to be solved numerically. The solutions of the singular integral equations are used to construct explicit expressions of the radiation field inside the medium and, for a semi-infinite medium, also those of the emerging field.	astro-ph.SR	52 pages, 6 figures, submitted to the Journal of Quantitative   Spectroscopy and Radiative transfer (JQSRT) on October 20th 2023
6	Spanning trees in $\mathbb{Z}$-covers of a finite graph and Mahler measures	Riccardo Pengo,Daniel Vallières	Using the special value at $u=1$ of Artin-Ihara $L$-functions, we associate to every $\mathbb{Z}$-cover of a finite graph a polynomial which we call the \emph{Ihara polynomial}. We show that the number of spanning trees for the finite intermediate graphs of such a cover can be expressed in terms of the Pierce-Lehmer sequence associated to a factor of the Ihara polynomial. This allows us to express the asymptotic growth of the number of spanning trees in terms of the Mahler measure of this polynomial. Specializing to the situation where the base graph is a bouquet or the dumbbell graph gives us back previous results in the literature for circulant and $I$-graphs (including the generalized Petersen graphs). We also express the $p$-adic valuation of the number of spanning trees of the finite intermediate graphs in terms of the $p$-adic Mahler measure of the Ihara polynomial. When applied to a particular $\mathbb{Z}$-cover, our result gives us back Lengyel's calculation of the $p$-adic valuations of Fibonacci numbers.	math.NT	Comments are very welcome!
7	A lower bound for the genus of a knot using the Links-Gould invariant	Ben-Michael Kohli,Guillaume Tahar	The Links-Gould invariant of links $LG^{2,1}$ is a two-variable generalization of the Alexander-Conway polynomial. Using representation theory of $U_{q}\mathfrak{gl}(2 \vert 1)$, we prove that the degree of the Links-Gould polynomial provides a lower bound on the Seifert genus of any knot, therefore improving the bound known as the Seifert inequality in the case of the Alexander invariant.	math.GT	26 pages
8	Atoms and associated spectral properties for positive operators on L^p	Jean-François Delmas,Kacem Lefki,Pierre-André Zitt	Inspired by Schwartz, Jang-Lewis and Victory, who study in particular generalizations of triangularizations of matrices to operators, we shall give for positive operators on Lebesgue spaces equivalent definitions of atoms (maximal irreducible sets). We also characterize positive power compact operators having a unique non-zero atom which appears as a natural generalization of irreducible operators and are also considered in epidemiological models. Using the different characterizations of atoms, we also provide a short proof for the representation of the ascent of a positive power compact operator as the maximal length in the graph of critical atoms.	math.SP	None
9	Super-resolved rainfall prediction with physics-aware deep learning	S. Moran,B. Demir,F. Serva,B. Le Saux	Rainfall prediction at the kilometre-scale up to a few hours in the future is key for planning and safety. But it is challenging given the complex influence of climate change on cloud processes and the limited skill of weather models at this scale. Following the set-up proposed by the \emph{weather4cast} challenge of NeurIPS, we build a two-step deep-learning solution for predicting rainfall occurrence at ground radar high spatial resolution starting from coarser resolution weather satellite images. Our approach is designed to predict future satellite images with a physics-aware ConvLSTM network, which is then converted into precipitation maps through a U-Net. We find that our two-step pipeline outperforms the baseline model and we quantify the benefits of including physical information. We find that local-scale rainfall predictions with good accuracy starting from satellite radiances can be obtained for up to 4 hours in the future.	physics.ao-ph	Accepted at Big Data from Space 2023 (BiDS); 4 pages, 3 figures
0	Multiplicity of solutions for semilinear subelliptic Dirichlet problem	Hua Chen,Hong-Ge Chen,Jin-Ning Li,Xin Liao	"In this paper, we study the semilinear subelliptic equation \[ \left\{   \begin{array}{cc}   -\triangle_{X} u=f(x,u)+g(x,u) & \mbox{in}~\Omega, \\[2mm]   u=0\hfill & \mbox{on}~\partial\Omega,   \end{array}   \right. \] where $\triangle_{X}=-\sum_{i=1}^{m}X_{i}^{*}X_{i}$ is the self-adjoint H\""{o}rmander operator associated with vector fields $X=(X_{1},X_{2},\ldots,X_{m})$ satisfying the H\""{o}rmander condition, $f(x,u)\in C(\overline{\Omega}\times \mathbb{R})$, $g(x,u)$ is a Carath\'{e}odory function on $\Omega\times \mathbb{R}$, and $\Omega$ is an open bounded domain in $\mathbb{R}^n$ with smooth boundary. Combining the perturbation from symmetry method with the approaches involving eigenvalue estimate and Morse index in estimating the min-max values, we obtain two kinds of existence results for multiple weak solutions to the problem above. Furthermore, we discuss the difference between the eigenvalue estimate approach and the Morse index approach in degenerate situations. Compared with the classical elliptic cases, both approaches here have their own strengths in the degenerate cases. This new phenomenon implies the results in general degenerate cases would be quite different from the situations in classical elliptic cases."	math.AP	39 pages
1	Machine Translation for Nko: Tools, Corpora and Baseline Results	Moussa Koulako Bala Doumbouya,Baba Mamadi Diané,Solo Farabado Cissé,Djibrila Diané,Abdoulaye Sow,Séré Moussa Doumbouya,Daouda Bangoura,Fodé Moriba Bayo,Ibrahima Sory 2. Condé,Kalo Mory Diané,Chris Piech,Christopher Manning	Currently, there is no usable machine translation system for Nko, a language spoken by tens of millions of people across multiple West African countries, which holds significant cultural and educational value. To address this issue, we present a set of tools, resources, and baseline results aimed towards the development of usable machine translation systems for Nko and other languages that do not currently have sufficiently large parallel text corpora available. (1) Friallel: A novel collaborative parallel text curation software that incorporates quality control through copyedit-based workflows. (2) Expansion of the FLoRes-200 and NLLB-Seed corpora with 2,009 and 6,193 high-quality Nko translations in parallel with 204 and 40 other languages. (3) nicolingua-0005: A collection of trilingual and bilingual corpora with 130,850 parallel segments and monolingual corpora containing over 3 million Nko words. (4) Baseline bilingual and multilingual neural machine translation results with the best model scoring 30.83 English-Nko chrF++ on FLoRes-devtest.	cs.CL	None
2	The strong Lefschetz property for quadratic reverse lexicographic ideals	Filip Jonsson Kling	Consider ideals $I$ of the form \[ I=(x_1^2,\dots, x_n^2)+\mathrm{RLex}(x_ix_j) \] where $\mathrm{RLex}(x_ix_j)$ is the ideal generated by all the square-free monomials which are greater than or equal to $x_ix_j$ in the reverse lexicographic order. We will determine some interesting properties regarding the shape of the Hilbert series of $I$. Using a theorem of Lindsey, this allows for a short proof that the algebras defined by $I$ has the strong Lefschetz property when the underlying field is of characteristic zero. Building on recent work by Phuong and Tran, this result is then extended to fields of sufficiently high positive characteristic. As a consequence, this shows that for any possible number of minimal generators for an artinian quadratic ideal, there exists such an ideal minimally generated by that many monomials and defining an algebra with the strong Lefschetz property.	math.AC	11 pages, 1 figure
3	Using Slisemap to interpret physical data	Lauri Seppäläinen,Anton Björklund,Vitus Besel,Kai Puolamäki	Manifold visualisation techniques are commonly used to visualise high-dimensional datasets in physical sciences. In this paper we apply a recently introduced manifold visualisation method, called Slise, on datasets from physics and chemistry. Slisemap combines manifold visualisation with explainable artificial intelligence. Explainable artificial intelligence is used to investigate the decision processes of black box machine learning models and complex simulators. With Slisemap we find an embedding such that data items with similar local explanations are grouped together. Hence, Slisemap gives us an overview of the different behaviours of a black box model. This makes Slisemap into a supervised manifold visualisation method, where the patterns in the embedding reflect a target property. In this paper we show how Slisemap can be used and evaluated on physical data and that Slisemap is helpful in finding meaningful information on classification and regression models trained on these datasets.	cs.LG	17 pages, 5 + 1 figures, 1 table. The datasets and source code used   in the paper are available at https://www.edahelsinki.fi/papers/slisemap_phys
4	Exploring the Impact of Ejecta Velocity Profile on Kilonova Evolution: Diversity of the Kilonova Lightcurves	Donggeun Tak,Z. Lucas Uhm,James H. Gillanders	A kilonova is a short-lived explosive event in the universe, resulting from the merger of two compact objects. Despite its importance as a primary source of heavy elements through r-process nucleosynthesis, its nature is not well understood, due to its rarity. In this work, we introduce a model that determines the density of a radially-stratified relativistic ejecta. We apply the model to kilonova ejecta and explore several hypothesized velocity profiles as a function of the merger's ejection time. These velocity profiles result in diverse density profiles of the ejecta, for which we conduct radiative transfer simulations using TARDIS with the solar r-process composition. Consequently, we investigate the impact of the ejecta velocity profile on the resulting lightcurve and spectral evolution through the line transitions of heavy elements. The change in the rate at which these elements accumulate in the line-forming region leaves its imprint on the kilonova lightcurve at specific wavelengths, causing the lightcurves to decay at different rates. Furthermore, in several profiles, plateau-like behaviors (slow and/or flat decline) are also observed. In conclusion, this work proposes potential scenarios of the kilonova evolution due to the ejecta velocity profile.	astro-ph.HE	9 pages, 5 figures, ApJ accepted
5	tagE: Enabling an Embodied Agent to Understand Human Instructions	Chayan Sarkar,Avik Mitra,Pradip Pramanick,Tapas Nayak	Natural language serves as the primary mode of communication when an intelligent agent with a physical presence engages with human beings. While a plethora of research focuses on natural language understanding (NLU), encompassing endeavors such as sentiment analysis, intent prediction, question answering, and summarization, the scope of NLU directed at situations necessitating tangible actions by an embodied agent remains limited. The inherent ambiguity and incompleteness inherent in natural language present challenges for intelligent agents striving to decipher human intention. To tackle this predicament head-on, we introduce a novel system known as task and argument grounding for Embodied agents (tagE). At its core, our system employs an inventive neural network model designed to extract a series of tasks from complex task instructions expressed in natural language. Our proposed model adopts an encoder-decoder framework enriched with nested decoding to effectively extract tasks and their corresponding arguments from these intricate instructions. These extracted tasks are then mapped (or grounded) to the robot's established collection of skills, while the arguments find grounding in objects present within the environment. To facilitate the training and evaluation of our system, we have curated a dataset featuring complex instructions. The results of our experiments underscore the prowess of our approach, as it outperforms robust baseline models.	cs.RO	Accepted in EMNLP Findings 2023
6	Radiative correction on moduli stabilization in modular flavor symmetric models	Tatsuo Kobayashi,Kaito Nasu,Riku Sakuma,Yusuke Yamada	We study the radiative corrections to the stabilization of the complex structure modulus $\tau$ in modular flavor symmetric models. We discuss the possibility of obtaining the vacuum expectation value of $\tau$ in the vicinity of the fixed point where residual symmetries remain unbroken. As concrete examples, we analyze the 1-loop Coleman-Weinberg potential in the $A_4$ modular flavor models. We show that the 1-loop correction may lead to the slight deviation from the tree level result, which may realize a phenomenologically preferred value of the complex structure modulus $\tau$ particularly when the number of species contributing to the 1-loop correction is large enough.	hep-ph	26 pages, 12 figures
7	Tilted circumbinary planetary systems as efficient progenitors of free-floating planets	Cheng Chen,Rebecca G. Martin,Stephen H. Lubow,C. J. Nixon	The dominant mechanism for generating free-floating planets has so far remained elusive. One suggested mechanism is that planets are ejected from planetary systems due to planet-planet interactions. However, instability around a single star requires a very compactly spaced planetary system. We find that around binary star systems instability can occur even with widely separated planets that are on tilted orbits relative to the binary orbit due to combined effects of planet-binary and planet-planet interactions, especially if the binary is on an eccentric orbit. We investigate the orbital stability of planetary systems with various planet masses and architectures. We find that the stability of the system depends upon the mass of the highest mass planet. The order of the planets in the system does not significantly affect stability but, generally, the most massive planet remains stable and the lower mass planets are ejected. The minimum planet mass required to trigger the instability is about that of Neptune for a circular orbit binary and a super-Earth of about $10$ Earth masses for highly eccentric binaries. Hence, we suggest that planet formation around misaligned binaries can be an efficient formation mechanism for free-floating planets. While most observed free-floating planets are giant planets, we predict that there should be more low-mass free floating planets that are as yet unobserved than higher mass planets.	astro-ph.EP	10 pages, 2 figures
8	MUSER: A Multi-View Similar Case Retrieval Dataset	Qingquan Li,Yiran Hu,Feng Yao,Chaojun Xiao,Zhiyuan Liu,Maosong Sun,Weixing Shen	Similar case retrieval (SCR) is a representative legal AI application that plays a pivotal role in promoting judicial fairness. However, existing SCR datasets only focus on the fact description section when judging the similarity between cases, ignoring other valuable sections (e.g., the court's opinion) that can provide insightful reasoning process behind. Furthermore, the case similarities are typically measured solely by the textual semantics of the fact descriptions, which may fail to capture the full complexity of legal cases from the perspective of legal knowledge. In this work, we present MUSER, a similar case retrieval dataset based on multi-view similarity measurement and comprehensive legal element with sentence-level legal element annotations. Specifically, we select three perspectives (legal fact, dispute focus, and law statutory) and build a comprehensive and structured label schema of legal elements for each of them, to enable accurate and knowledgeable evaluation of case similarities. The constructed dataset originates from Chinese civil cases and contains 100 query cases and 4,024 candidate cases. We implement several text classification algorithms for legal element prediction and various retrieval methods for retrieving similar cases on MUSER. The experimental results indicate that incorporating legal elements can benefit the performance of SCR models, but further efforts are still required to address the remaining challenges posed by MUSER. The source code and dataset are released at https://github.com/THUlawtech/MUSER.	cs.CL	Accepted by CIKM 2023 Resource Track
9	Grasp Multiple Objects with One Hand	Yuyang Li,Bo Liu,Yiran Geng,Puhao Li,Yaodong Yang,Yixin Zhu,Tengyu Liu,Siyuan Huang	The human hand's complex kinematics allow for simultaneous grasping and manipulation of multiple objects, essential for tasks like object transfer and in-hand manipulation. Despite its importance, robotic multi-object grasping remains underexplored and presents challenges in kinematics, dynamics, and object configurations. This paper introduces MultiGrasp, a two-stage method for multi-object grasping on a tabletop with a multi-finger dexterous hand. It involves (i) generating pre-grasp proposals and (ii) executing the grasp and lifting the objects. Experimental results primarily focus on dual-object grasping and report a 44.13% success rate, showcasing adaptability to unseen object configurations and imprecise grasps. The framework also demonstrates the capability to grasp more than two objects, albeit at a reduced inference speed.	cs.RO	None
0	Decentralized Proximal Method of Multipliers for Convex Optimization with Coupled Constraints	Kai Gong,Liwei Zhang	In this paper, a decentralized proximal method of multipliers (DPMM) is proposed to solve constrained convex optimization problems over multi-agent networks, where the local objective of each agent is a general closed convex function, and the constraints are coupled equalities and inequalities. This algorithm strategically integrates the dual decomposition method and the proximal point algorithm. One advantage of DPMM is that subproblems can be solved inexactly and in parallel by agents at each iteration, which relaxes the restriction of requiring exact solutions to subproblems in many distributed constrained optimization algorithms. We show that the first-order optimality residual of the proposed algorithm decays to $0$ at a rate of $o(1/k)$ under general convexity. Furthermore, if a structural assumption for the considered optimization problem is satisfied, the sequence generated by DPMM converges linearly to an optimal solution. In numerical simulations, we compare DPMM with several existing algorithms using two examples to demonstrate its effectiveness.	math.OC	None
1	Motion of Test Particles in Spacetimes with Torsion and Nonmetricity	Danianos Iosifidis,Friedrich W. Hehl	We derive the equations of motion of a test particle with intrinsic hypermomentum in spacetimes with both torsion $S$ and nonmetricity $Q$ (along with curvature $R$). Accordingly, $S$ and $Q$ can be measured by tracing out the trajectory followed by a hypermomentum-charged test particle in such a non-Riemannian background. The test particle is approximated by means of a Dirac $\delta$-function. Thus we find a tangible way to observe and measure the effects of torsion and nonmetricity. Our results are consistent with earlier ones derived by Obukhov and Puetzfeld (2014) by means of a different method. We apply our insight and evaluate how far-reaching the so-called `geometrical trinity of gravity' really is.	gr-qc	8 pages, no figures
2	Retrieval-based Knowledge Transfer: An Effective Approach for Extreme Large Language Model Compression	Jiduan Liu,Jiahao Liu,Qifan Wang,Jingang Wang,Xunliang Cai,Dongyan Zhao,Ran Lucien Wang,Rui Yan	Large-scale pre-trained language models (LLMs) have demonstrated exceptional performance in various natural language processing (NLP) tasks. However, the massive size of these models poses huge challenges for their deployment in real-world applications. While numerous model compression techniques have been proposed, most of them are not well-suited for achieving extreme model compression when there is a significant gap in model scale. In this paper, we introduce a novel compression paradigm called Retrieval-based Knowledge Transfer (RetriKT), which effectively transfers the knowledge of LLMs to extremely small-scale models (e.g., 1%). In particular, our approach extracts knowledge from LLMs to construct a knowledge store, from which the small-scale model can retrieve relevant information and leverage it for effective inference. To improve the quality of the model, soft prompt tuning and Proximal Policy Optimization (PPO) reinforcement learning techniques are employed. Extensive experiments are conducted on low-resource tasks from SuperGLUE and GLUE benchmarks. The results demonstrate that the proposed approach significantly enhances the performance of small-scale models by leveraging the knowledge from LLMs.	cs.CL	EMNLP 2023 Findings
3	RecipeMeta: Metapath-enhanced Recipe Recommendation on Heterogeneous Recipe Network	Jialiang Shi,Takahiro Komamizu,Keisuke Doman,Haruya Kyutoku,Ichiro Ide	Recipe is a set of instructions that describes how to make food. It can help people from the preparation of ingredients, food cooking process, etc. to prepare the food, and increasingly in demand on the Web. To help users find the vast amount of recipes on the Web, we address the task of recipe recommendation. Due to multiple data types and relationships in a recipe, we can treat it as a heterogeneous network to describe its information more accurately. To effectively utilize the heterogeneous network, metapath was proposed to describe the higher-level semantic information between two entities by defining a compound path from peer entities. Therefore, we propose a metapath-enhanced recipe recommendation framework, RecipeMeta, that combines GNN (Graph Neural Network)-based representation learning and specific metapath-based information in a recipe to predict User-Recipe pairs for recommendation. Through extensive experiments, we demonstrate that the proposed model, RecipeMeta, outperforms state-of-the-art methods for recipe recommendation.	cs.MM	None
4	Honeybee-like collective decision making in a kilobot swarm	David March,Julia Múgica,Ezequiel E. Ferrero,M. Carmen Miguel	Drawing inspiration from honeybee swarms' nest-site selection process, we assess the ability of a kilobot robot swarm to replicate this captivating example of collective decision-making. Honeybees locate the optimal site for their new nest by aggregating information about potential locations and exchanging it through their waggle-dance. The complexity and elegance of solving this problem relies on two key abilities of scout honeybees: self-discovery and imitation, symbolizing independence and interdependence, respectively. We employ a mathematical model to represent this nest-site selection problem and program our kilobots to follow its rules. Our experiments demonstrate that the kilobot swarm can collectively reach consensus decisions in a decentralized manner, akin to honeybees. However, the strength of this consensus depends not only on the interplay between independence and interdependence but also on critical factors such as swarm density and the motion of kilobots. These factors enable the formation of a percolated communication network, through which each robot can receive information beyond its immediate vicinity. By shedding light on this crucial layer of complexity --the crowding and mobility conditions during the decision-making--, we emphasize the significance of factors typically overlooked but essential to living systems and life itself.	cond-mat.dis-nn	19 pages, 8 figures, 6 appendix figures, 3 supplementary figures
5	Facial Data Minimization: Shallow Model as Your Privacy Filter	Yuwen Pu,Jiahao Chen,Jiayu Pan,Hao li,Diqun Yan,Xuhong Zhang,Shouling Ji	Face recognition service has been used in many fields and brings much convenience to people. However, once the user's facial data is transmitted to a service provider, the user will lose control of his/her private data. In recent years, there exist various security and privacy issues due to the leakage of facial data. Although many privacy-preserving methods have been proposed, they usually fail when they are not accessible to adversaries' strategies or auxiliary data. Hence, in this paper, by fully considering two cases of uploading facial images and facial features, which are very typical in face recognition service systems, we proposed a data privacy minimization transformation (PMT) method. This method can process the original facial data based on the shallow model of authorized services to obtain the obfuscated data. The obfuscated data can not only maintain satisfactory performance on authorized models and restrict the performance on other unauthorized models but also prevent original privacy data from leaking by AI methods and human visual theft. Additionally, since a service provider may execute preprocessing operations on the received data, we also propose an enhanced perturbation method to improve the robustness of PMT. Besides, to authorize one facial image to multiple service models simultaneously, a multiple restriction mechanism is proposed to improve the scalability of PMT. Finally, we conduct extensive experiments and evaluate the effectiveness of the proposed PMT in defending against face reconstruction, data abuse, and face attribute estimation attacks. These experimental results demonstrate that PMT performs well in preventing facial data abuse and privacy leakage while maintaining face recognition accuracy.	cs.CR	14 pages, 11 figures
6	Feynman's inverse problem	Adrian Kirkeby	We analyse an inverse problem for water waves posed by Richard Feynman in the BBC documentary Fun to Imagine. The problem can be modelled as an inverse Cauchy problem for gravity-capillary waves on a bounded domain. We do a detailed analysis of the Cauchy problem and give a uniqueness proof for the inverse problem. This results, somewhat surprisingly, in a positive answer to Feynman's question. In addition, we derive stability estimates for the inverse problem both for continuous and discrete measurements, propose a simple inversion method and conduct numerical experiments to verify our results.	math.AP	None
7	ScanDL: A Diffusion Model for Generating Synthetic Scanpaths on Texts	Lena S. Bolliger,David R. Reich,Patrick Haller,Deborah N. Jakobi,Paul Prasse,Lena A. Jäger	Eye movements in reading play a crucial role in psycholinguistic research studying the cognitive mechanisms underlying human language processing. More recently, the tight coupling between eye movements and cognition has also been leveraged for language-related machine learning tasks such as the interpretability, enhancement, and pre-training of language models, as well as the inference of reader- and text-specific properties. However, scarcity of eye movement data and its unavailability at application time poses a major challenge for this line of research. Initially, this problem was tackled by resorting to cognitive models for synthesizing eye movement data. However, for the sole purpose of generating human-like scanpaths, purely data-driven machine-learning-based methods have proven to be more suitable. Following recent advances in adapting diffusion processes to discrete data, we propose ScanDL, a novel discrete sequence-to-sequence diffusion model that generates synthetic scanpaths on texts. By leveraging pre-trained word representations and jointly embedding both the stimulus text and the fixation sequence, our model captures multi-modal interactions between the two inputs. We evaluate ScanDL within- and across-dataset and demonstrate that it significantly outperforms state-of-the-art scanpath generation methods. Finally, we provide an extensive psycholinguistic analysis that underlines the model's ability to exhibit human-like reading behavior. Our implementation is made available at https://github.com/DiLi-Lab/ScanDL.	cs.CL	EMNLP 2023
8	Detecting Intentional AIS Shutdown in Open Sea Maritime Surveillance Using Self-Supervised Deep Learning	Pierre Bernabé,Arnaud Gotlieb,Bruno Legeard,Dusica Marijan,Frank Olaf Sem-Jacobsen,Helge Spieker	In maritime traffic surveillance, detecting illegal activities, such as illegal fishing or transshipment of illicit products is a crucial task of the coastal administration. In the open sea, one has to rely on Automatic Identification System (AIS) message transmitted by on-board transponders, which are captured by surveillance satellites. However, insincere vessels often intentionally shut down their AIS transponders to hide illegal activities. In the open sea, it is very challenging to differentiate intentional AIS shutdowns from missing reception due to protocol limitations, bad weather conditions or restricting satellite positions. This paper presents a novel approach for the detection of abnormal AIS missing reception based on self-supervised deep learning techniques and transformer models. Using historical data, the trained model predicts if a message should be received in the upcoming minute or not. Afterwards, the model reports on detected anomalies by comparing the prediction with what actually happens. Our method can process AIS messages in real-time, in particular, more than 500 Millions AIS messages per month, corresponding to the trajectories of more than 60 000 ships. The method is evaluated on 1-year of real-world data coming from four Norwegian surveillance satellites. Using related research results, we validated our method by rediscovering already detected intentional AIS shutdowns.	cs.LG	IEEE Transactions on Intelligent Transportation Systems
